post_id,post_type,likes,comments,shares,saves,impressions,reach,profile_visits,follower_count,date_posted,engagement-rate
054,Story,180,96,3,47,1899,8450,106,13091,2024-10-31,3.86
055,Video,534,62,41,20,1021,3511,99,12992,2024-06-11,18.71
056,Photo,868,59,45,19,9601,2468,48,7318,2024-08-14,40.15
057,Photo,696,94,18,35,1894,947,94,13180,2024-11-09,89.02
058,Video,70,94,47,43,1514,7220,186,1234,2024-09-15,3.52
059,Carousel,890,66,36,17,8294,1165,71,16372,2024-08-06,86.61
060,Photo,216,27,47,45,5904,5331,115,1522,2024-10-07,6.28
061,Video,323,13,22,43,8867,6130,116,13718,2024-08-16,6.54
062,Photo,437,16,34,34,5109,6310,63,10821,2024-03-22,8.26
063,Reel,650,5,47,9,8179,7293,135,6832,2024-08-31,9.75
064,Carousel,365,62,8,26,2560,6239,18,13820,2024-08-18,7.39
065,Reel,63,5,40,2,2266,7311,97,17211,2024-05-12,1.5
066,Carousel,291,38,49,9,4638,8304,46,8122,2024-05-06,4.66
067,Video,826,52,44,9,9941,2046,58,6842,2024-11-22,45.5
068,Carousel,395,93,19,40,4427,4639,50,2316,2024-05-21,11.79
069,Carousel,614,5,42,17,5780,3176,26,14200,2024-09-23,21.35
070,Video,947,20,41,1,2927,3809,97,18508,2024-09-05,26.49
071,Carousel,389,65,37,25,3356,2627,30,16206,2024-11-16,19.64
072,Photo,141,68,6,43,5790,7779,60,19971,2024-05-02,3.32
073,Story,416,67,26,40,1306,5085,68,2378,2024-05-20,10.8
074,Video,504,73,34,42,8979,7710,176,2519,2024-08-13,8.47
075,Story,477,26,45,25,4665,2996,192,8935,2024-02-09,19.13
076,Video,558,97,6,39,8057,4547,50,7093,2024-12-31,15.39
077,Video,825,71,37,35,1661,6778,48,6355,2024-05-26,14.28
078,Reel,992,80,33,3,5644,6407,150,10083,2024-04-30,17.29
079,Reel,84,30,22,37,9503,1569,20,6574,2024-05-19,11.03
080,Carousel,255,20,21,44,3920,1580,156,14324,2024-06-20,21.52
081,Story,130,55,6,44,9946,7103,148,3257,2024-06-12,3.31
082,Video,981,90,6,30,7236,4783,86,14411,2024-10-03,23.14
083,Carousel,611,61,48,38,7078,1321,136,16233,2024-02-11,57.38
084,Photo,921,33,4,34,1352,8369,55,16887,2024-03-11,11.85
085,Video,437,82,30,12,8005,6584,54,3005,2024-03-18,8.52
086,Photo,51,96,11,19,1158,5383,10,19400,2024-04-28,3.29
087,Carousel,439,73,30,37,1956,6746,177,11860,2024-07-15,8.58
088,Reel,615,51,31,44,3071,5741,117,11070,2024-12-21,12.91
089,Carousel,155,98,24,49,9595,7067,28,10388,2024-03-19,4.61
090,Photo,821,66,9,17,4453,7928,85,19156,2024-12-27,11.52
091,Video,871,73,3,10,7675,3261,81,19135,2024-04-19,29.35
092,Story,526,80,31,49,1955,1485,198,15609,2024-02-02,46.2
093,Carousel,752,20,40,47,7295,2960,118,17363,2024-07-31,29.02
094,Video,451,94,37,12,2712,7831,21,17923,2024-07-27,7.59
095,Reel,779,94,36,16,5703,6141,198,15823,2024-06-18,15.06
096,Reel,605,52,24,24,7563,838,170,18845,2024-10-04,84.13
097,Reel,211,89,31,19,6631,5675,54,9547,2024-08-26,6.17
098,Video,251,43,6,8,2394,2056,99,12515,2024-07-31,14.98
099,Carousel,319,37,2,31,5732,8497,112,1234,2024-02-01,4.58
100,Video,912,98,20,21,4714,2996,17,15562,2024-04-15,35.08
101,Video,865,27,28,17,1529,7965,162,18932,2024-08-03,11.76
102,Story,320,14,11,23,3958,1101,100,8480,2024-07-18,33.42
103,Story,505,73,4,37,8904,8327,183,5213,2024-10-26,7.43
104,Carousel,511,38,15,16,4591,7181,96,11293,2024-12-22,8.08
105,Story,776,56,6,6,7895,1446,167,2673,2024-01-11,58.37
106,Reel,301,99,49,8,1525,5130,184,3100,2024-10-21,8.91
107,Story,751,14,30,25,7477,7803,186,12849,2024-07-13,10.51
108,Reel,345,23,38,18,1001,4337,184,19199,2024-09-01,9.78
109,Carousel,774,62,2,25,1374,5358,93,4841,2024-01-04,16.11
110,Video,769,5,15,12,5648,7379,91,11197,2024-06-29,10.86
111,Video,798,73,11,15,3365,4882,155,9016,2024-06-01,18.37
112,Story,387,8,8,26,2525,4983,77,8011,2024-07-18,8.61
113,Reel,928,20,26,41,2646,4554,170,5493,2024-08-02,22.29
114,Photo,102,28,45,45,1013,2524,136,18058,2024-10-02,8.72
115,Photo,841,84,44,26,5599,2176,173,9578,2024-10-06,45.73
116,Photo,971,6,5,47,3278,2453,91,3158,2024-11-04,41.95
117,Video,266,96,6,32,4155,2866,156,3064,2024-04-22,13.96
118,Video,813,36,26,10,9321,822,165,4253,2024-09-06,107.66
119,Reel,237,95,4,16,4814,3260,177,13828,2024-04-22,10.8
120,Story,429,88,19,7,4216,6726,93,2401,2024-05-19,8.07
121,Photo,542,28,20,17,9219,7051,122,16193,2024-08-11,8.61
122,Reel,90,16,33,23,3113,8095,85,13096,2024-09-05,2.0
123,Reel,206,54,20,26,5356,4100,131,5214,2024-01-15,7.46
124,Story,64,39,49,21,6543,7079,152,12023,2024-07-18,2.44
125,Reel,862,37,12,22,5555,8153,50,12950,2024-06-21,11.44
126,Story,114,37,47,7,8062,4527,176,11704,2024-12-08,4.53
127,Carousel,906,65,1,14,4374,7072,11,11343,2024-12-13,13.94
128,Story,888,55,26,15,7430,6795,38,12867,2024-07-26,14.48
129,Photo,570,47,14,7,4466,1314,114,3745,2024-03-25,48.55
130,Photo,393,16,38,9,4081,1248,60,4866,2024-08-27,36.54
131,Story,178,71,37,48,1629,6819,84,12956,2024-03-06,4.9
132,Carousel,697,69,11,8,1269,6143,19,6818,2024-11-14,12.78
133,Carousel,521,37,36,23,6724,8833,151,19606,2024-09-30,6.99
134,Photo,112,44,13,29,6897,3320,60,17093,2024-01-14,5.96
135,Carousel,188,78,43,18,4432,3881,127,16493,2024-07-20,8.43
136,Reel,548,47,3,31,7276,2228,130,18908,2024-10-30,28.23
137,Video,642,48,33,30,6895,4767,48,9224,2024-10-15,15.8
138,Reel,441,33,6,39,8115,7245,37,5025,2024-12-05,7.16
139,Photo,724,17,10,35,7656,2959,12,19950,2024-01-14,26.56
140,Carousel,468,16,5,18,1575,5932,93,7155,2024-02-12,8.55
141,Story,338,99,23,42,8029,3347,164,14839,2024-11-25,15.0
142,Video,428,50,10,39,7099,3779,126,1719,2024-08-07,13.95
143,Story,822,6,44,17,4192,3449,11,15890,2024-03-10,25.78
144,Photo,539,39,2,14,4178,3883,102,18356,2024-08-24,15.3
145,Carousel,280,91,13,31,7052,1837,175,19591,2024-04-03,22.59
146,Story,90,85,40,24,3734,4289,140,5426,2024-01-26,5.57
147,Story,77,94,2,35,7116,8404,153,13512,2024-05-13,2.48
148,Video,184,12,20,44,4568,8344,103,16064,2024-07-13,3.12
149,Video,250,97,1,45,3203,3434,49,14767,2024-06-16,11.44
150,Carousel,889,30,37,34,2390,4783,11,12308,2024-04-18,20.7
151,Video,829,78,9,3,2742,2578,90,12477,2024-08-20,35.65
152,Story,979,94,17,37,2925,8702,178,13903,2024-06-16,12.95
153,Story,82,38,9,43,1619,5910,21,9680,2024-06-21,2.91
154,Photo,97,11,11,40,2274,5989,172,3204,2024-07-13,2.65
155,Story,552,72,15,26,1956,8178,74,2102,2024-05-22,8.13
156,Carousel,456,62,24,23,2939,1924,64,6243,2024-08-03,29.37
157,Reel,623,79,38,44,4953,1497,54,7614,2024-05-09,52.37
158,Photo,777,33,35,39,1968,2979,110,17299,2024-02-11,29.67
159,Photo,854,40,30,15,1281,6051,71,9707,2024-08-28,15.52
160,Carousel,148,93,31,49,7262,2729,58,14913,2024-01-10,11.76
161,Carousel,733,25,49,4,2058,1813,136,1630,2024-10-03,44.73
162,Video,921,40,5,29,5293,1026,162,12908,2024-01-27,96.98
163,Photo,775,14,44,22,6178,8121,32,11847,2024-06-28,10.53
164,Video,596,77,14,25,7980,2628,161,10171,2024-04-24,27.09
165,Story,788,28,11,13,2229,8709,47,13721,2024-11-28,9.65
166,Photo,662,68,9,18,5585,6388,37,17661,2024-02-05,11.85
167,Photo,992,53,34,33,9467,2823,30,17616,2024-11-29,39.39
168,Reel,511,40,12,16,3740,5766,191,10744,2024-01-21,10.04
169,Photo,692,86,35,45,3289,6691,116,6690,2024-01-16,12.82
170,Story,818,28,35,42,2239,1880,155,14401,2024-05-06,49.1
171,Video,54,27,1,44,6370,5836,173,8659,2024-04-12,2.16
172,Video,267,66,40,2,1125,3363,108,11601,2024-01-11,11.15
173,Reel,552,41,22,35,8473,4092,182,12704,2024-11-14,15.88
174,Story,816,16,29,42,6342,4386,128,1025,2024-03-19,20.59
175,Video,447,59,8,34,8351,5231,82,16384,2024-05-02,10.48
176,Carousel,920,17,11,30,7638,7641,190,14705,2024-03-05,12.8
177,Story,844,27,41,13,7570,7443,131,9652,2024-08-30,12.43
178,Story,442,93,37,13,4249,4759,39,14379,2024-12-08,12.29
179,Reel,256,34,14,18,8595,961,197,8006,2024-02-28,33.51
180,Video,64,21,30,32,7294,1393,117,19378,2024-10-15,10.55
181,Story,907,66,35,32,7527,4190,107,9682,2024-04-21,24.82
182,Video,603,88,21,35,6757,6797,41,2072,2024-08-26,10.99
183,Carousel,941,93,37,39,2969,7154,165,1215,2024-12-24,15.52
184,Reel,510,90,5,46,1891,1463,181,10915,2024-05-11,44.5
185,Carousel,740,17,19,29,5470,1341,88,10784,2024-07-07,60.03
186,Reel,624,63,14,49,8175,6233,50,19990,2024-03-26,12.03
187,Story,913,23,26,29,9320,5893,72,15824,2024-11-06,16.82
188,Reel,792,53,4,44,7812,1667,32,4313,2024-11-06,53.57
189,Photo,290,16,25,16,8519,6269,113,12033,2024-02-28,5.54
190,Video,613,65,45,44,5612,7056,84,10968,2024-03-24,10.87
191,Video,145,23,42,47,2198,1969,57,17241,2024-06-08,13.05
192,Photo,949,80,25,10,6238,1630,169,6939,2024-02-25,65.28
193,Carousel,783,13,18,30,7089,2451,66,15696,2024-10-23,34.43
194,Photo,534,75,40,25,7257,1936,127,15794,2024-01-14,34.81
195,Story,456,32,8,39,8705,3610,109,3295,2024-06-08,14.82
196,Story,280,82,39,20,4719,1819,133,2696,2024-10-21,23.14
197,Video,798,99,40,5,1302,6037,170,12185,2024-12-12,15.6
198,Story,704,56,14,1,1986,2083,161,19330,2024-07-11,37.21
199,Video,220,87,32,30,5440,1459,176,13001,2024-07-22,25.29
200,Photo,590,20,38,49,5909,2810,43,15350,2024-04-11,24.8
201,Photo,85,73,33,3,4072,2533,193,4644,2024-02-08,7.66
202,Photo,574,16,23,45,4124,2925,165,7420,2024-10-30,22.5
203,Video,209,29,15,14,9125,2971,174,12837,2024-12-19,8.99
204,Photo,888,56,33,30,4291,4271,16,7353,2024-11-17,23.58
205,Photo,748,89,25,4,5033,6424,174,11541,2024-05-04,13.48
206,Carousel,292,57,17,18,6105,2897,65,2932,2024-02-22,13.26
207,Photo,135,27,33,37,1703,5868,74,12486,2024-12-22,3.95
208,Story,845,20,47,25,9133,7197,56,2757,2024-06-03,13.02
209,Video,627,61,2,48,1574,3557,157,6085,2024-12-16,20.75
210,Carousel,731,43,14,1,6704,4720,28,6637,2024-11-03,16.72
211,Reel,606,57,40,46,8848,8986,166,2116,2024-03-02,8.34
212,Video,623,46,40,15,6208,2700,197,11759,2024-10-16,26.81
213,Story,695,62,39,9,7924,3410,155,12691,2024-01-22,23.61
214,Video,845,43,6,15,4828,7700,172,1492,2024-06-26,11.81
215,Story,77,18,6,49,4230,2249,180,9811,2024-09-29,6.67
216,Story,669,99,3,24,1488,5817,135,7474,2024-08-07,13.67
217,Reel,605,9,7,4,8114,8799,148,15385,2024-12-04,7.1
218,Video,389,39,8,12,4173,6852,58,10738,2024-07-08,6.54
219,Reel,847,91,42,37,2667,2896,122,14979,2024-02-05,35.12
220,Reel,380,97,15,37,5114,7204,47,12755,2024-09-16,7.34
221,Video,689,79,47,43,4553,4131,73,10797,2024-11-27,20.77
222,Photo,555,22,29,6,8761,8262,78,15607,2024-06-23,7.41
223,Photo,397,80,33,39,2000,5905,145,13867,2024-01-07,9.3
224,Reel,522,13,30,46,2388,3778,171,8866,2024-08-03,16.17
225,Carousel,280,78,39,24,6450,3639,185,16449,2024-09-07,11.57
226,Reel,239,62,27,11,4712,4184,125,11685,2024-02-24,8.1
227,Reel,274,21,36,13,2367,1485,193,6451,2024-08-09,23.16
228,Reel,434,11,29,34,9189,8331,74,9548,2024-07-04,6.1
229,Photo,426,50,38,25,1454,5083,40,8186,2024-11-21,10.6
230,Photo,332,17,33,7,3772,8536,141,7102,2024-08-23,4.56
231,Photo,682,44,37,4,4726,8510,122,1619,2024-12-28,9.01
232,Reel,677,46,27,8,8232,2419,118,1882,2024-03-19,31.34
233,Carousel,794,13,33,20,5806,7668,187,4642,2024-08-10,11.22
234,Photo,308,54,4,29,3190,2231,78,2296,2024-03-31,17.71
235,Video,408,31,22,45,3875,5513,167,15122,2024-09-24,9.18
236,Video,759,70,2,46,6592,5798,129,3895,2024-11-29,15.13
237,Video,505,9,10,10,2440,962,97,18313,2024-05-18,55.51
238,Story,460,33,5,43,9927,2774,196,6366,2024-11-11,19.5
239,Reel,698,41,10,34,7059,4091,76,9711,2024-10-02,19.14
240,Video,367,42,33,26,8010,1431,84,19793,2024-09-04,32.7
241,Reel,726,87,38,41,8117,1705,54,9199,2024-08-26,52.32
242,Video,274,12,13,49,3989,2814,13,11717,2024-08-11,12.37
243,Carousel,868,69,31,3,7228,8696,163,4423,2024-10-30,11.17
244,Reel,283,90,47,6,7471,1004,164,11211,2024-05-17,42.43
245,Video,733,21,36,5,3863,1381,183,13782,2024-06-14,57.57
246,Photo,713,75,45,5,2177,6475,116,13474,2024-05-05,12.94
247,Reel,876,93,24,47,5760,6147,60,4667,2024-02-14,16.92
248,Story,423,49,15,23,1011,3443,59,9277,2024-05-22,14.81
249,Photo,721,8,29,49,6252,8817,15,13424,2024-08-18,9.15
250,Photo,657,40,8,9,5399,3097,68,19852,2024-05-04,23.05
251,Story,521,74,5,35,9234,1674,134,19020,2024-08-25,37.93
252,Photo,282,35,29,20,6445,6360,152,9155,2024-10-18,5.75
253,Photo,741,23,47,49,7570,1489,39,4583,2024-11-08,57.76
254,Video,162,65,4,42,9212,4800,179,16515,2024-12-08,5.69
255,Video,879,58,12,35,1406,1471,131,5009,2024-07-13,66.89
256,Reel,546,43,45,18,5431,8727,134,11410,2024-06-21,7.47
257,Reel,491,95,2,17,6243,1971,46,19601,2024-01-15,30.7
258,Reel,613,78,27,24,7542,6391,179,5967,2024-09-10,11.61
259,Video,317,94,31,3,7936,7142,133,19753,2024-06-15,6.23
260,Reel,559,23,36,32,9906,2249,110,11695,2024-04-03,28.9
261,Photo,856,43,36,35,5146,3339,44,10135,2024-09-06,29.05
262,Video,435,71,26,38,1140,4759,96,6722,2024-04-18,11.98
263,Reel,436,49,43,13,5882,7085,143,16514,2024-06-30,7.64
264,Photo,162,17,27,47,7012,6232,27,12128,2024-05-12,4.06
265,Reel,662,96,5,25,1963,5060,122,5444,2024-06-23,15.57
266,Carousel,674,62,20,9,8151,3161,38,8618,2024-05-23,24.2
267,Reel,130,24,11,4,9564,6964,86,19060,2024-11-01,2.43
268,Carousel,748,96,10,14,4610,4470,68,2196,2024-12-25,19.42
269,Reel,162,76,40,37,7894,2553,184,13297,2024-05-21,12.34
270,Story,51,65,38,34,8311,8900,135,3787,2024-10-11,2.11
271,Reel,691,43,6,11,1105,2738,154,8927,2024-01-06,27.43
272,Video,269,5,8,41,6539,6776,118,3176,2024-09-21,4.77
273,Video,615,7,23,3,7787,7388,31,9792,2024-04-07,8.77
274,Carousel,904,81,47,28,3137,7104,77,10171,2024-02-13,14.92
275,Video,785,96,26,29,5445,8145,78,3451,2024-05-03,11.49
276,Photo,274,66,46,9,4530,8675,174,1628,2024-07-27,4.55
277,Story,434,67,43,3,2286,7433,58,10821,2024-09-07,7.36
278,Story,452,29,12,25,8052,1397,150,8778,2024-10-11,37.08
279,Photo,687,60,26,34,4654,3862,171,4696,2024-05-03,20.9
280,Carousel,179,37,13,12,8102,3136,118,13972,2024-12-19,7.68
281,Photo,102,42,40,42,3359,1372,95,9307,2024-08-31,16.47
282,Photo,733,10,18,9,9105,8321,62,5956,2024-11-26,9.25
283,Story,779,62,25,15,9636,6971,132,11195,2024-12-30,12.64
284,Reel,721,48,33,40,7441,7897,96,18076,2024-09-08,10.66
285,Story,759,49,47,25,6047,2890,188,2105,2024-08-17,30.45
286,Story,465,36,40,5,9227,7366,140,19545,2024-01-09,7.41
287,Video,296,49,43,11,6203,5424,51,16417,2024-02-17,7.36
288,Photo,885,65,12,34,2798,2433,107,15188,2024-05-30,40.94
289,Story,488,51,44,24,6291,2317,169,13602,2024-04-23,26.2
290,Photo,252,25,36,15,6495,4448,118,10256,2024-07-26,7.37
291,Video,233,84,48,38,7284,2337,60,15212,2024-12-20,17.24
292,Photo,172,89,4,8,8285,3937,94,2913,2024-05-04,6.93
293,Story,450,79,5,5,2300,7785,183,11593,2024-06-05,6.92
294,Photo,816,40,37,48,7869,897,136,2772,2024-12-05,104.91
295,Video,343,23,8,26,4097,4550,30,13996,2024-10-24,8.79
296,Reel,329,24,42,18,5616,8974,53,3871,2024-07-07,4.6
297,Photo,886,61,49,6,1009,8903,148,14234,2024-08-30,11.25
298,Story,933,22,28,37,6752,6213,112,18044,2024-10-10,16.42
299,Video,659,51,31,48,7295,5466,77,11521,2024-09-28,14.43
300,Story,247,53,9,13,5815,1410,138,11642,2024-06-25,22.84
301,Story,956,18,29,28,2072,2527,101,2132,2024-08-05,40.8
302,Photo,560,19,14,5,4225,2654,33,1699,2024-10-08,22.53
303,Story,801,35,40,13,2316,5855,134,15534,2024-06-18,15.18
304,Photo,193,5,41,17,6699,3124,150,11230,2024-06-29,8.19
305,Reel,658,58,22,40,7807,6574,120,7297,2024-12-25,11.83
306,Story,250,7,11,45,7674,7319,107,13839,2024-08-20,4.28
307,Story,173,20,23,32,4683,2549,148,8812,2024-05-18,9.73
308,Story,236,91,1,29,8227,1581,188,5557,2024-06-05,22.58
309,Carousel,375,61,46,3,4273,8348,26,3179,2024-05-08,5.81
310,Carousel,513,79,37,40,8000,7623,108,12030,2024-04-28,8.78
311,Video,398,16,21,34,1145,2905,91,10065,2024-03-02,16.14
312,Carousel,820,78,26,40,6010,4667,113,9275,2024-04-08,20.66
313,Video,709,20,46,27,4040,7993,161,18806,2024-06-10,10.03
314,Carousel,813,76,36,13,1482,5776,28,16089,2024-03-02,16.24
315,Reel,981,80,23,45,4179,2913,174,4180,2024-10-01,38.76
316,Video,452,28,1,33,2249,6679,94,7696,2024-12-19,7.7
317,Carousel,395,32,40,6,1630,4770,17,10583,2024-04-04,9.92
318,Reel,560,12,15,24,9853,8064,37,17998,2024-04-08,7.58
319,Carousel,196,96,21,19,3852,2377,14,14869,2024-04-20,13.97
320,Photo,197,40,47,16,1987,3074,154,12757,2024-09-04,9.76
321,Photo,913,94,9,40,8622,5669,110,17654,2024-05-21,18.63
322,Reel,760,12,9,28,8327,7544,173,13258,2024-10-28,10.72
323,Story,869,62,10,33,9841,3226,127,3468,2024-09-25,30.19
324,Story,538,64,26,48,2100,6346,156,15208,2024-11-01,10.65
325,Photo,978,54,41,41,7652,7652,73,16042,2024-05-24,14.56
326,Photo,985,32,35,13,9632,3351,100,16639,2024-02-21,31.78
327,Story,689,96,25,43,8421,7211,126,12546,2024-04-09,11.83
328,Video,600,45,26,45,6016,807,107,13327,2024-05-31,88.72
329,Story,387,68,11,25,1769,8887,20,15270,2024-04-26,5.52
330,Carousel,921,31,38,42,2343,3355,63,16523,2024-07-03,30.76
331,Video,690,67,2,36,5358,1275,182,15300,2024-04-01,62.35
332,Carousel,828,21,7,27,7780,6216,56,11775,2024-06-03,14.21
333,Photo,522,77,18,38,7602,8039,149,13265,2024-01-08,8.15
334,Video,995,37,27,7,3349,7510,158,17673,2024-12-28,14.19
335,Carousel,200,88,34,5,6699,5800,148,7614,2024-09-30,5.64
336,Carousel,464,81,27,43,2241,5454,14,4252,2024-03-05,11.28
337,Video,347,96,17,45,2125,8878,193,8415,2024-05-20,5.69
338,Reel,660,33,43,31,7764,6863,29,17662,2024-01-24,11.18
339,Story,312,17,44,23,6101,3085,178,12116,2024-01-28,12.84
340,Carousel,813,50,24,42,8843,6023,55,17964,2024-10-10,15.42
341,Story,193,39,25,10,1072,7771,21,5958,2024-05-29,3.44
342,Story,395,10,7,32,6472,4325,79,5276,2024-12-23,10.27
343,Photo,673,86,6,43,6189,3622,26,5776,2024-03-05,22.31
344,Story,621,73,24,30,3472,5743,124,18208,2024-11-22,13.02
345,Carousel,930,51,33,39,1707,7330,156,4832,2024-09-08,14.37
346,Photo,51,29,49,31,2804,1058,163,15901,2024-02-22,15.12
347,Video,946,70,29,18,7704,1082,57,6445,2024-01-07,98.24
348,Carousel,353,14,43,36,4713,2698,117,2380,2024-10-20,16.53
349,Photo,303,60,22,2,6051,4935,61,10865,2024-05-25,7.84
350,Photo,701,34,26,14,3475,7429,105,14926,2024-08-28,10.43
351,Story,502,9,28,13,4610,4000,79,12580,2024-09-02,13.8
352,Video,86,37,21,29,5255,5910,192,6634,2024-08-13,2.93
353,Carousel,209,69,49,12,8397,7967,111,6810,2024-06-23,4.26
354,Carousel,58,22,7,39,2735,1412,84,11179,2024-04-04,8.92
355,Story,282,53,17,2,9258,1487,170,13251,2024-01-27,23.81
356,Video,148,15,20,32,8979,4490,199,14131,2024-05-09,4.79
357,Carousel,708,89,41,13,3428,3107,160,13707,2024-09-01,27.39
358,Video,865,30,49,46,8426,7933,152,19233,2024-02-28,12.48
359,Carousel,257,67,20,27,9533,7309,164,3749,2024-02-03,5.08
360,Story,180,93,22,49,6249,6706,188,14156,2024-07-24,5.13
361,Reel,453,90,28,41,6291,3391,190,17589,2024-09-08,18.05
362,Carousel,201,63,40,17,3817,7983,91,4450,2024-02-07,4.02
363,Photo,103,31,49,40,4874,6048,101,8214,2024-10-22,3.69
364,Photo,169,53,7,31,5211,5908,188,12814,2024-11-18,4.4
365,Reel,722,81,1,34,1661,4404,184,6141,2024-12-17,19.03
366,Carousel,969,37,32,24,4374,1469,13,3708,2024-01-28,72.29
367,Photo,677,5,13,45,1207,5164,144,19375,2024-03-18,14.33
368,Photo,636,25,30,35,3665,8129,118,16088,2024-03-17,8.93
369,Carousel,674,59,23,48,3493,2083,172,12834,2024-10-15,38.6
370,Video,469,10,19,6,7813,1723,57,13278,2024-06-04,29.25
371,Carousel,471,96,32,19,1632,1925,82,11014,2024-02-13,32.1
372,Video,153,85,30,30,4083,2329,81,4273,2024-05-07,12.8
373,Reel,901,73,29,7,4719,4511,125,15367,2024-03-01,22.39
374,Story,303,99,49,10,8123,8804,182,5538,2024-10-12,5.24
375,Reel,276,9,45,41,2679,7074,90,13541,2024-08-01,5.24
376,Story,161,7,29,32,1236,4664,90,9712,2024-11-06,4.91
377,Photo,559,57,30,34,8446,8633,122,10168,2024-11-01,7.88
378,Photo,522,27,16,28,5443,7588,105,4551,2024-11-12,7.81
379,Photo,148,57,40,15,7770,1026,81,13297,2024-04-25,25.34
380,Video,202,41,19,30,7099,1064,156,11965,2024-09-24,27.44
381,Story,910,78,18,37,9555,1445,72,3832,2024-07-13,72.18
382,Photo,963,78,1,29,3368,8344,47,14422,2024-08-18,12.84
383,Carousel,945,87,14,22,1285,6369,76,1152,2024-08-14,16.77
384,Story,927,21,47,4,1148,3790,196,12156,2024-06-01,26.36
385,Story,387,89,2,20,5037,3304,78,12108,2024-10-28,15.07
386,Video,755,82,28,32,7549,1387,22,3800,2024-08-07,64.67
387,Reel,871,77,49,36,8121,4879,184,6310,2024-06-05,21.17
388,Video,212,5,30,4,5895,4148,198,10944,2024-10-18,6.05
389,Photo,769,55,38,27,6280,7099,40,3610,2024-11-13,12.52
